user_id,cellphone_id,rating
0,30,1
0,5,3
0,10,9
0,9,3
0,23,2
0,8,2
0,22,1
0,16,2
0,19,1
0,3,10
1,7,8
1,31,7
1,18,5
1,3,10
1,32,6
1,28,8
1,16,7
1,15,8
1,4,7
1,8,8
6,13,5
6,31,6
6,23,8
6,1,2
6,8,7
6,19,1
6,32,10
6,7,9
6,27,4
6,16,3
8,29,6
8,22,9
8,32,9
8,25,8
8,20,7
8,0,5
8,11,6
8,17,8
8,21,5
8,27,8
10,23,9
10,5,3
10,6,7
10,4,9
10,14,10
10,3,9
10,12,8
10,16,8
10,27,8
10,11,8
12,24,4
12,10,9
12,16,7
12,13,6
12,6,6
12,32,5
12,27,4
12,20,7
12,31,3
12,23,6
16,15,10
16,24,3
16,0,1
16,30,2
16,27,4
16,11,8
16,26,5
16,13,7
16,9,6
16,6,2
24,20,9
24,28,8
24,3,10
24,21,8
24,22,7
24,6,7
24,18,8
24,10,9
24,23,7
24,15,10
25,2,9
25,5,6
25,14,2
25,30,5
25,12,3
25,32,9
25,8,10
25,13,1
25,16,9
25,20,5
26,20,6
26,32,9
26,3,10
26,15,7
26,23,6
26,25,9
26,22,10
26,12,8
26,18,5
26,4,9
27,11,8
27,8,8
27,19,6
27,24,7
27,27,7
27,18,6
27,6,8
27,21,9
27,32,8
27,4,10
28,28,1
28,31,1
28,5,10
28,8,1
28,14,1
28,17,1
28,22,1
28,29,1
28,3,10
28,25,1
29,14,5
29,8,7
29,19,5
29,10,9
29,7,6
29,24,8
29,2,6
29,16,7
29,26,5
29,5,4
30,17,8
30,14,6
30,19,7
30,15,6
30,26,9
30,9,4
30,0,4
30,16,8
30,4,7
30,2,5
32,12,1
32,2,9
32,13,1
32,26,9
32,11,1
32,31,3
32,20,2
32,30,1
32,6,2
32,10,8
33,30,10
33,29,9
33,13,8
33,6,8
33,2,10
33,19,10
33,9,10
33,10,10
33,25,10
33,32,8
35,19,7
35,12,2
35,26,2
35,17,3
35,23,2
35,0,6
35,18,9
35,27,7
35,6,5
35,4,1
36,2,10
36,26,1
36,6,1
36,1,6
36,5,6
36,10,4
36,22,4
36,14,1
36,9,4
36,17,2
37,24,6
37,32,5
37,28,10
37,7,1
37,18,5
37,31,2
37,23,9
37,30,1
37,13,5
37,15,5
38,1,7
38,30,4
38,5,8
38,24,7
38,10,7
38,15,2
38,2,8
38,11,7
38,6,5
38,25,6
52,20,10
52,0,5
52,13,4
52,27,6
52,26,8
52,8,1
52,5,2
52,3,2
52,24,5
52,15,5
53,32,9
53,5,8
53,15,10
53,4,9
53,26,9
53,9,8
53,7,8
53,29,8
53,25,9
53,17,8
56,15,5
56,32,3
56,30,2
56,5,9
56,25,3
56,1,9
56,12,5
56,8,10
56,17,6
56,13,9
60,16,6
60,11,3
60,32,8
60,9,5
60,28,1
60,26,9
60,15,4
60,31,10
60,13,2
60,29,7
74,26,8
74,25,7
74,17,7
74,11,8
74,21,7
74,8,6
74,30,6
74,28,7
74,32,7
74,16,6
79,16,8
79,11,8
79,19,7
79,10,8
79,3,9
79,23,8
79,32,7
79,31,5
79,14,7
79,5,6
80,7,8
80,19,7
80,30,8
80,9,9
80,28,9
80,31,8
80,22,10
80,5,7
80,8,8
80,2,9
84,25,1
84,2,10
84,31,9
84,28,10
84,21,1
84,7,10
84,30,9
84,14,10
84,17,9
84,26,1
85,18,1
85,30,1
85,25,1
85,1,10
85,15,1
85,2,10
85,4,10
85,14,1
85,17,1
85,21,1
91,31,8
91,16,7
91,1,9
91,2,9
91,15,6
91,22,5
91,19,8
91,21,8
91,12,9
91,11,7
95,17,9
95,22,10
95,30,5
95,25,9
95,29,6
95,27,7
95,6,7
95,32,4
95,15,5
95,5,5
98,0,10
98,2,9
98,12,9
98,20,7
98,24,8
98,8,9
98,9,8
98,32,6
98,10,9
98,7,8
99,17,10
99,26,9
99,13,10
99,22,10
99,21,9
99,4,10
99,8,9
99,3,10
99,25,10
99,30,10
100,20,10
100,27,9
100,24,8
100,30,8
100,29,8
100,8,10
100,26,8
100,7,9
100,13,10
100,10,9
104,30,6
104,24,7
104,13,8
104,12,9
104,15,8
104,11,10
104,28,10
104,31,10
104,27,8
104,16,10
105,17,8
105,18,7
105,4,10
105,19,6
105,9,8
105,12,9
105,14,9
105,22,8
105,7,9
105,20,10
106,24,7
106,20,6
106,15,7
106,14,8
106,4,6
106,26,7
106,18,5
106,5,6
106,12,8
106,16,7
110,8,2
110,12,6
110,27,1
110,31,2
110,24,1
110,5,2
110,3,3
110,29,6
110,9,7
110,14,1
111,8,4
111,4,1
111,7,3
111,20,10
111,25,5
111,30,9
111,5,2
111,23,7
111,18,6
111,26,8
112,17,10
112,23,10
112,13,8
112,27,9
112,11,1
112,31,2
112,6,4
112,29,3
112,14,2
112,3,8
113,14,5
113,1,5
113,29,2
113,27,1
113,3,10
113,26,1
113,7,10
113,21,1
113,15,6
113,4,10
114,3,7
114,22,8
114,28,7
114,24,6
114,8,6
114,29,6
114,4,7
114,25,8
114,12,9
114,26,8
115,7,1
115,25,10
115,3,7
115,6,7
115,11,9
115,2,6
115,13,4
115,19,7
115,30,5
115,26,10
116,19,1
116,4,10
